Chr,Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
chr1,1700019D03Rik,0.4533783387711283,0.3126980754238164,0.4050493697733151,0.333609231700392,0.388041229154027,0.3862632743912542,0.2837350427348318,0.3394082152431135,0.4004823373012087,0.3987246513077715,0.4217255953339727,0.3466586509497889
chr1,1700025G04Rik,0.4929660362199688,0.5908584675530903,0.9152533683715866,0.5481178429213822,0.9424784560503928,0.5395703541344875,0.5277603712385733,0.5130695463907097,0.937622430490686,0.9912961804182614,0.5413067872473102,0.5568417085497883
chr1,1700034H15Rik,0.4745454545454545,,0.7000000000000001,0.6136363636363636,0.7029764803598475,0.5496299962292609,0.5526556776556777,0.4568181818181818,0.8155765502127731,0.85,0.851948051948052,0.5072687995764918
chr1,1700047M11Rik,,0.3289473684210526,0.2183411826268969,0.2591673032849503,0.371289650894914,,,0.4015879078904288,0.2365566037735849,0.2817460317460317,0.1776675705247134,0.5163636363636364
chr1,1700066M21Rik,0.5569126806563162,0.5257998836729848,0.5952143040968484,0.6246978835752818,0.5834720032288484,0.4681881940055503,0.6294913171401592,0.6249005958965046,0.5933169219229248,0.6073882569291494,0.6250430989037158,0.6253560882892285
chr1,2310009B15Rik,0.2136363636363636,0.3280677655677655,0.5458624708624709,0.3373554550025138,0.396115623282806,0.4996539313399778,0.4790170613700025,0.3111111111111111,0.4582970349224219,0.5039110618378911,0.2277777777777777,0.3678946053946054
chr1,2810025M15Rik,0.3888157710509367,0.5726352201257862,0.5095766515092155,0.4439278864781287,0.4338551789046589,0.3787422875085084,0.4784238736473886,0.5762376076828323,0.4655485906945965,0.3755809173636893,0.3564366471734893,0.4102110334569699
chr1,2810459M11Rik,0.6511546015102402,0.619608090297303,0.6138686574069477,0.579336776472206,0.5807444218106506,0.6210720911748491,0.6378822346901865,0.6027640347589964,0.6105371873316782,0.6609379558168551,0.5484651759017456,0.6040499519767166
chr1,2900060B14Rik,,,,0.9090909090909092,0.5096153846153846,,0.4959790209790209,,,0.4642857142857143,,
chr1,2900092D14Rik,0.524276364881955,0.5092544920916134,0.4633098297561565,0.5150099208327443,0.5027306084577726,0.4492458072895889,0.4285872267890447,0.4558336340415385,0.4756536238309099,0.5023991534176183,0.4537682761708717,0.4752707545819941
chr1,3110009E18Rik,,1.0,0.8257575757575758,1.0,1.0,,,1.0,0.7172905525846702,1.0,,
chr1,4930523C07Rik,0.5269230769230769,0.75,0.6803030303030303,0.6948693018211735,0.5662922981434778,0.4332205988455989,0.706959706959707,,0.6355784615404252,0.2666666666666666,0.574122174122174,0.5863118363118364
chr1,5033417F24Rik,0.6783496732026144,0.5810279997779998,0.7022030709643138,0.6287656170009112,0.5618892145873403,0.6404338591703984,0.6169197256380228,0.7894188203179402,0.5140596086647254,0.6852035394549247,0.5674123932236506,0.5800101092541411
chr1,6430706D22Rik,0.9260249554367204,0.973928216768336,0.9743165047512874,0.9827898550724636,0.980748637071651,0.9898587933247752,0.9716610549943884,0.9056111111111113,0.9846560770981536,0.9871794871794872,0.971019809244314,0.9779467877732154
chr1,9130024F11Rik,0.4013409961685824,,,,0.5768474329175205,0.6179330143540669,0.6062152133580705,0.4657407407407407,0.6281927244582044,0.4388888888888889,0.5156695156695157,0.5693346508563899
chr1,A130010J15Rik,0.4203793519811826,0.2908769824946295,0.4792565524860416,0.4124256570260318,0.4178694806433756,0.3082294738272999,0.3906474795270162,0.2327849816388597,0.3883195544864342,0.4136528171158865,0.3564626292180471,0.4270423835631856
chr1,A330023F24Rik,0.452576601458286,0.5053211643285428,0.4994723845188795,0.4561378804205803,0.5171005170928012,0.489602048235326,0.5166419639298337,0.4960684054580457,0.4628817825642691,0.4932655995048255,0.5001631694679246,0.459013434927976
chr1,A430027H14Rik,,,0.5381818181818182,,0.5986013986013986,,0.5727272727272728,,0.391304347826087,0.6363636363636364,0.4705882352941176,0.7
chr1,A830018L16Rik,0.9249814050938042,0.930909768366188,0.8814044513885388,0.9095293141459736,0.8419490495509078,0.5753287672686479,0.9306542969525172,0.9385732345398586,0.9005004068603981,0.9570185558252126,0.9431509932959894,0.8750889603883188
chr1,AA986860,0.5291375291375292,0.546031746031746,0.5393644447872389,0.5106719676379119,0.4625249451609384,0.3656664332399627,0.5076235039470334,0.5019564459257442,0.47317491128353,0.4842984500879237,0.4751766751766752,0.5758123575770635
chr1,AI597479,0.5720450878612977,0.5988859180055911,0.5686612138750433,0.5920125768508692,0.559407969829274,0.5945266214257046,0.611018505567652,0.5429546032068437,0.575261849256055,0.5712884558862508,0.5938895771028732,0.5673309393883126
chr1,Aamp,0.5576719317902257,0.4664734696907077,0.5297996387555299,0.507984902790553,0.523442737105795,0.5366625978838797,0.512786178915296,0.577270660195457,0.5226542056908023,0.583405340792974,0.5257914446253966,0.5434398142474236
chr1,Abcb6,0.5654196318926796,0.5773584630492806,0.5436341545190048,0.5951602538154289,0.5318017560460311,0.5685282863746491,0.5651354041682604,0.5683981725945271,0.5340388033685692,0.5917289142048298,0.607377785636016,0.5548424960351195
chr1,Abi2,0.4477292042425415,0.5103668774628962,0.4385964502685774,0.4642368579292229,0.4722584464207186,0.4467789632427007,0.458337589306488,0.4200869535521971,0.4741772916321147,0.4542199422082565,0.4438394804858647,0.4926836547672895
chr1,Abl2,0.6506260761084947,0.6606591294663562,0.6501278311552028,0.6242126813724271,0.6610671731470656,0.6586608787180422,0.6532594594382445,0.6489645350982884,0.6420858153241142,0.6335585967288138,0.6512771643230103,0.6249079837696158
chr1,Acadl,0.7530966499781834,0.7823190656648892,0.768297325408728,0.737266271802729,0.7243747131864119,0.515237582155778,0.7870707338565689,0.5820101313906559,0.7462795814703787,0.8095441326344728,0.7418754845576219,0.7881454192832356
chr1,Acbd3,0.5617305458768873,0.5375722267016695,0.5327393439079974,0.5815766125479055,0.4461091093553792,0.5695509746282122,0.5300525930987733,0.5008683062833826,0.5189978226307256,0.4994000256262413,0.5123986382574168,0.5399225795188528
chr1,Ackr1,0.9995300379142408,1.0,0.9999048706240488,0.9999010292953286,0.9999131944444444,1.0,0.9997652582159624,1.0,1.0,1.0,1.0,1.0
chr1,Ackr3,0.5057110623481207,0.4895687482812715,0.5767819374394334,0.5239002825748053,0.5023267661180295,0.5315960645672361,0.4829572769774491,0.4901422218402034,0.5180877901983987,0.532881988276655,0.5166981442405472,0.5580193380720212
