Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
0610005C13Rik,0,0,0,2,4,1,1,2,0,0,1,0
0610009B22Rik,311,509,624,760,1070,753,629,680,968,607,554,844
0610009E02Rik,42,50,47,91,139,77,46,46,95,63,69,87
0610009L18Rik,120,98,103,123,208,138,154,118,150,124,127,146
0610010F05Rik,2249,3049,3899,4088,6114,3526,4576,4400,6171,4145,3547,4813
0610010K14Rik,517,342,519,589,917,604,574,572,884,556,508,635
0610012G03Rik,862,772,994,1176,1773,1112,1072,1137,1549,1066,1028,1223
0610030E20Rik,751,899,1182,1241,2131,1053,1301,1233,1793,1182,1035,1320
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,1,0
0610038B21Rik,7,4,3,11,10,2,11,4,4,2,4,0
0610039H22Rik,0,0,1,0,0,1,0,0,0,0,0,0
0610039K10Rik,0,2,3,2,14,4,9,3,6,9,3,4
0610040B10Rik,13,21,40,28,78,27,30,38,37,43,11,37
0610040F04Rik,31,19,27,31,66,40,17,42,42,22,29,43
0610040J01Rik,162,158,176,256,365,143,192,223,344,236,190,205
0610043K17Rik,42,51,80,69,185,114,70,98,113,71,88,108
1110002E22Rik,113,157,237,385,343,231,329,293,545,412,323,382
1110002J07Rik,22,8,4,19,17,20,18,35,29,21,22,29
1110002L01Rik,345,539,711,779,1406,923,695,724,1350,729,706,890
1110004F10Rik,1400,2117,2914,3305,4570,3069,3406,3293,4701,3179,2350,3668
1110006O24Rik,72,32,27,42,55,11,31,33,45,25,29,42
1110008P14Rik,1129,1276,1309,1816,2593,1400,1428,1816,2574,1921,1538,1482
1110015O18Rik,5,24,30,39,146,24,11,38,59,29,26,52
1110017D15Rik,102,82,55,208,252,111,50,125,139,41,64,116
1110019D14Rik,20,29,46,52,104,41,36,51,49,26,65,39
1110020A21Rik,16,13,24,31,57,40,38,22,59,23,26,30
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,6,3,5,7,3,1,5,8,5,1,6,3
1110032A03Rik,427,824,934,1244,2206,1005,898,1126,1859,946,834,1258
1110032F04Rik,357,225,371,401,798,545,607,516,844,549,362,475
1110036E04Rik,0,1,0,0,1,1,0,0,1,1,0,0
1110038B12Rik,243,100,171,183,223,121,170,117,161,175,227,205
1110038F14Rik,578,347,498,539,828,483,528,509,875,541,461,583
1110046J04Rik,50,61,56,73,156,84,99,93,138,85,63,77
1110051M20Rik,2881,3348,4497,4257,7080,4109,4404,4311,7169,4028,4068,4961
1110058D11Rik,0,0,0,1,0,0,0,1,0,1,0,0
1110059E24Rik,119,204,254,298,421,247,282,308,424,280,237,305
1110059G10Rik,294,423,625,682,1063,582,750,749,1089,736,605,834
1110065P20Rik,1246,651,880,1021,1346,878,1152,944,1284,898,812,1079
1190005I06Rik,5,0,4,5,2,1,4,3,3,2,5,4
1190007I07Rik,120,99,126,176,308,193,141,162,196,172,123,185
1190028D05Rik,0,0,0,0,1,0,0,0,0,0,0,0
1300002E11Rik,299,319,408,514,735,370,396,507,679,482,368,516
1300017J02Rik,4,0,0,10,7,5,4,6,8,2,0,6
1500004A13Rik,717,1093,1356,1593,2475,1420,1443,1415,2434,1730,1377,1312
1500009C09Rik,3334,2246,3445,3196,5012,3123,3534,3287,4985,3427,3178,3557
1500009L16Rik,473,535,744,827,1342,767,786,669,1125,625,770,886
1500011B03Rik,2632,2026,2818,3018,5802,3039,3192,3022,4494,2787,2746,3125
1500012K07Rik,12,6,18,7,11,18,17,11,24,12,17,17
1500015A07Rik,569,490,568,714,1085,632,664,705,877,615,583,664
1500015L24Rik,2,6,10,12,17,11,9,15,18,9,9,8
1500026H17Rik,74,118,131,156,228,98,107,143,285,105,136,156
1500035N22Rik,21,7,7,11,73,9,2,5,8,5,7,12
1600002D24Rik,0,0,0,0,0,1,2,0,0,1,0,0
1600010M07Rik,0,1,0,1,5,1,1,0,1,0,1,3
1600012H06Rik,651,849,1103,1272,1829,1029,1218,1240,1936,1161,1015,1217
1600014C10Rik,1233,689,1472,1028,1817,1300,1668,1627,1509,1615,881,1546
1600014C23Rik,2,2,4,1,7,3,7,2,8,1,5,0
1600015H23Rik,3,4,4,2,0,3,1,2,5,5,1,2
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,227,199,226,195,411,219,263,198,308,207,177,262
1600023N17Rik,3,1,11,13,29,8,5,6,13,21,9,6
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,1,1,0,1,1,0,0,0,1
1600029I14Rik,3,5,3,26,15,11,4,11,7,7,6,7
1600029O15Rik,82,162,147,214,200,87,156,149,252,167,218,133
1700001C19Rik,0,0,2,1,0,0,0,0,0,0,0,1
1700001D01Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700001F09Rik,0,0,0,0,2,1,0,0,0,0,0,2
1700001G01Rik,1,0,0,0,0,0,2,0,0,0,1,0
1700001G11Rik,12,13,20,20,24,21,18,19,24,15,17,21
1700001G17Rik,8,9,5,11,29,10,9,7,16,15,10,12
1700001J03Rik,2,0,0,1,2,3,3,0,0,1,1,1
1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,1,0,1,0,1,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700001K23Rik,0,0,1,1,0,2,0,0,0,0,1,2
1700001L05Rik,322,370,551,490,1041,893,1005,817,1639,609,484,1203
1700001L19Rik,248,193,226,303,697,621,328,261,460,153,297,418
1700001O22Rik,81,71,73,110,131,86,121,150,216,120,98,96
1700001P01Rik,3,9,17,15,18,8,17,2,21,9,8,20
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,3,10,7,12,17,10,12,14,6,7,6,6
1700003E16Rik,930,648,1014,937,2154,1244,897,987,1750,730,933,1192
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,13,2,4,5,9,2,6,1,4,6,0,2
1700003G18Rik,0,0,4,8,4,1,3,0,4,1,4,1
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,2,2,0,5,4,4,6,7,10,3,6,4
1700003M07Rik,370,441,663,560,1119,913,660,722,1159,638,593,785
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,4,5,5,4,15,8,4,6,10,4,8,11
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007F19Rik,2,5,3,3,2,1,1,2,2,5,2,2
1700007J10Rik,3,6,12,11,19,9,5,9,14,7,7,8
1700007K13Rik,91,101,78,226,283,120,45,135,120,23,49,110
1700007L15Rik,30,21,16,41,48,28,14,22,21,11,21,22
1700007P06Rik,8,7,7,10,41,10,13,15,20,18,2,15
1700008C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,95,101,170,158,232,156,120,141,221,134,147,182
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,52,42,34,63,74,35,51,40,72,44,33,46
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,9,8,11,3,10,6,17,9,22,10,3,14
1700009J07Rik,1,0,1,1,0,1,1,0,1,0,1,2
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,25,33,42,45,74,23,39,50,60,33,31,56
1700010J16Rik,0,0,2,0,0,0,0,0,0,1,0,0
1700010K23Rik,0,2,5,10,20,8,14,11,11,9,6,5
1700011B04Rik,0,0,0,0,1,0,0,0,0,0,0,1
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,2,0,1,1,1,0,0,1,0,0,0,1
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,1,1,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,19,26,17,106,92,44,15,57,50,17,17,72
1700012C14Rik,2,4,6,1,6,5,3,0,1,2,0,0
1700012D01Rik,25,21,29,48,64,21,25,21,31,29,22,43
1700012D14Rik,44,25,60,63,120,44,82,50,90,41,46,60
1700012D16Rik,13,12,5,12,13,4,6,8,11,6,10,19
1700012H19Rik,0,0,0,2,1,0,1,1,5,2,1,4
1700012I11Rik,1,0,0,0,0,0,0,0,0,0,1,1
1700012J15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012P22Rik,0,3,1,1,8,0,1,2,3,0,4,3
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,20,32,34,99,125,61,32,87,79,36,46,66
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,1,0,0,1,0,0,1,1,1,3,1
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,1,3,0,4,2,0,0,1,0,0,1,1
1700016D06Rik,0,0,1,2,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,1,0,0,1,0,2,0,0,0,0
1700016H13Rik,0,0,0,0,0,0,1,1,0,0,0,1
1700016K05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,57,70,34,182,193,76,46,109,117,73,43,98
1700016L04Rik,10,9,4,12,29,9,15,11,20,3,8,21
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,1539,1757,2511,1955,2933,1573,1987,1884,3255,1773,2391,2362
1700017G19Rik,0,0,0,0,3,3,0,0,1,0,0,0
1700017J07Rik,0,1,0,1,0,0,0,0,0,0,0,0
1700017L05Rik,0,1,0,1,0,0,0,0,0,0,0,0
1700018A04Rik,4,4,4,2,17,0,2,3,7,3,3,3
1700018B08Rik,0,0,0,0,1,0,0,0,0,0,1,0
1700018F24Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,38,12,40,25,28,12,23,22,40,36,16,42
1700019A02Rik,13,15,17,22,26,22,12,21,22,17,14,25
1700019C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,370,436,893,682,1120,634,768,553,963,596,593,861
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,3,2,2,7,12,5,2,2,0,2,3,4
1700019J19Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,10,6,5,9,27,11,13,7,13,15,7,11
1700019P21Rik,1,0,0,0,0,0,0,0,0,0,0,1
1700020A23Rik,0,1,0,0,0,0,0,1,0,0,0,0
1700020D05Rik,44,64,58,99,135,70,56,63,83,58,84,97
1700020G17Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700020L24Rik,8,2,2,8,7,4,4,9,10,4,1,12
1700020M21Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,2,0,3,3,1,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,10,12,6,23,20,0,18,10,22,7,2,17
1700021F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F07Rik,0,0,0,0,0,0,1,0,0,0,1,0
1700021G15Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700021L23Rik,2,3,0,0,2,3,3,1,4,3,1,1
1700021N21Rik,1,1,1,2,1,1,1,3,1,1,1,2
1700022A21Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,1,0,0,0,1,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700022N22Rik,15,11,24,31,42,10,25,15,21,21,14,27
1700023C21Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700023D09Rik,23,29,32,37,68,34,30,22,31,13,19,22
1700023F02Rik,0,0,0,0,5,0,1,1,1,0,0,0
1700024B18Rik,1,0,0,0,3,5,0,0,2,0,1,1
1700024G13Rik,11,10,6,33,45,22,10,18,24,8,16,24
1700024I08Rik,0,0,0,0,1,0,0,1,0,0,0,0
1700024J04Rik,0,0,0,0,1,0,0,2,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700025B11Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,1,2,0,0,0,0,1,1
1700025G04Rik,6819,7476,9693,9738,13888,11593,10744,9931,14302,9476,9329,12963
1700025J12Rik,0,0,1,0,0,1,0,0,1,1,0,0
1700025K04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,0,0,0,0,0,2,0,1,1,0,1,1
1700025O08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026J14Rik,1,1,1,2,1,1,5,0,5,4,2,2
1700027A15Rik,0,0,0,0,0,0,0,1,0,1,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,4,1,8,2,4,1,1,0,3
1700027I24Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700027J07Rik,0,0,0,0,1,2,0,2,1,0,0,0
1700028B04Rik,0,0,0,0,0,0,1,1,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028E10Rik,8,9,12,21,17,10,11,16,25,8,13,16
1700028I16Rik,5,11,22,21,28,15,15,9,9,19,4,13
1700028J19Rik,7,51,48,62,94,45,48,58,77,57,38,56
1700028K03Rik,22,21,42,21,67,15,24,28,37,28,22,30
1700028M03Rik,0,0,0,0,1,0,1,0,0,0,0,1
1700028P14Rik,92,105,132,243,270,167,57,126,183,88,123,180
1700028P15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,1,1,0,0,0,0,0
1700029H14Rik,2,3,3,1,5,2,1,3,3,2,4,6
1700029I15Rik,20,35,27,40,95,40,33,33,39,21,28,24
1700029J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,56,108,88,151,299,89,80,134,143,52,107,145
1700029M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,1,2,0,1,2,0,0,0,3
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700030A11Rik,0,1,0,0,5,2,1,1,1,0,1,4
1700030C10Rik,2,0,1,7,4,2,2,1,5,3,2,7
1700030C12Rik,9,1,3,7,10,6,4,2,3,3,4,8
1700030C14Rik,10,3,11,15,44,5,10,3,19,12,5,12
1700030F04Rik,0,4,0,8,7,1,4,1,4,2,4,0
1700030J22Rik,546,559,683,762,1400,776,608,656,1176,503,557,789
1700030K09Rik,214,193,317,296,568,304,312,281,411,260,254,354
1700030L20Rik,1,0,0,0,0,0,0,1,0,0,0,0
1700030M09Rik,0,0,5,1,2,1,0,1,0,1,0,0
1700030N03Rik,0,0,0,1,0,0,1,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,1,1,2,1,1,0,0,1,0,0,0,0
1700034G24Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700034H15Rik,133,105,137,140,311,199,164,174,208,144,167,234
1700034I23Rik,0,0,0,3,0,0,0,1,0,0,2,1
1700034J05Rik,0,0,2,0,0,0,1,1,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,12,12,5,8,18,7,4,4,11,14,9,10
1700036G14Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700037C18Rik,42,15,18,31,56,22,15,13,40,20,21,40
1700037H04Rik,1931,887,1401,1234,3262,1554,1541,1333,2076,1026,1196,1833
1700039E22Rik,0,0,2,4,4,0,1,3,6,6,1,6
1700039M10Rik,1,0,1,2,1,1,5,1,3,0,4,1
1700040D17Rik,25,34,45,48,103,39,70,47,70,74,50,59
1700040K01Rik,1,1,0,1,0,1,0,0,4,0,0,0
1700041A01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,3,0,3,0,0,0,0,1,0,2
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,1,0,0,0,0,0,1,2,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,1,0,4,1,0,2,1
1700047E10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700047L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047M11Rik,45,62,78,119,97,26,51,83,105,55,74,68
1700048F04Rik,3,0,0,1,4,2,3,1,0,0,0,2
1700048M11Rik,0,1,2,0,0,0,0,1,4,0,0,0
1700048O14Rik,0,0,0,0,0,0,0,0,0,1,1,0
1700048O20Rik,98,164,300,353,605,178,197,190,496,266,308,243
1700049E15Rik,0,0,0,0,0,2,0,1,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,1,0,0,6,0,0,3
1700052I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700052K11Rik,290,322,408,551,912,460,441,406,728,540,426,608
1700054A03Rik,0,0,0,0,0,0,1,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,1,0,3,6,6,3,1,0,9,4,2,3
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055D16Rik,22,5,9,15,24,9,12,12,11,15,3,12
1700055D18Rik,26,25,34,42,74,34,27,34,31,23,33,44
1700056E22Rik,1,1,1,2,11,1,10,1,3,6,0,1
1700057G04Rik,1,0,0,2,0,1,4,5,2,0,0,1
1700057H15Rik,2,0,0,0,0,3,4,3,4,1,1,0
1700057H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061I17Rik,0,1,0,0,1,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,35,23,47,55,108,45,38,63,58,35,52,34
1700063H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063O14Rik,3,3,8,8,21,48,17,2,13,12,19,21
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,1,2,3,2,3,1,1,1,2,1
1700065D16Rik,4,2,3,5,4,3,3,3,8,0,1,3
1700065I16Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700065J18Rik,1,0,1,1,7,0,2,0,0,1,0,2
1700065L07Rik,0,0,0,0,0,0,0,1,4,0,1,0
1700065O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B19Rik,2,2,1,3,3,2,2,3,7,1,1,6
1700066C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066J03Rik,1,0,0,1,1,1,0,0,1,0,0,0
1700066M21Rik,904,1389,1860,2185,3310,2374,2321,2439,3153,2114,2080,2548
1700066N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,1,0,6,6,0,0,9,3,0,0,3
1700067G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067K01Rik,8,5,5,16,8,3,2,7,3,4,5,14
1700067P10Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700069L16Rik,1,0,0,0,2,0,0,0,1,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,3,3,7,1,17,12,1,3,7,1,6,6
1700071M16Rik,0,5,3,5,8,9,3,3,4,2,4,1
1700072B07Rik,0,0,0,0,1,0,0,0,0,1,0,0
1700072I22Rik,0,1,1,1,0,0,0,0,0,0,0,1
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,2,4,1,0,1,1,0,1,3
1700074P13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700083H02Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700084D21Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700084E18Rik,3,14,9,20,9,3,8,13,11,4,12,4
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,1,0,0,1
1700084M14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,2,0,0,0,0,0,0,0
1700086L19Rik,847,865,1306,1376,3936,1461,1541,1615,2178,1696,1053,1596
1700086O06Rik,78,112,173,135,263,110,141,102,258,134,104,106
1700088E04Rik,107,151,176,298,440,220,135,207,283,105,136,268
1700091H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,2,0,6,2,10,4,1,2,3,0,0,1
1700092M07Rik,2,7,3,6,7,7,2,0,10,3,2,11
1700093K21Rik,21,43,59,72,61,30,36,50,56,36,32,39
1700094D03Rik,155,295,286,582,760,432,292,481,541,241,341,496
1700094J05Rik,1,3,3,3,1,0,2,0,1,0,2,2
1700094M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095J03Rik,12,7,28,26,45,5,23,20,26,29,9,18
1700095J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095K22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700096K18Rik,37,72,90,95,162,106,92,118,146,96,71,149
1700096P03Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700097N02Rik,0,2,1,0,6,4,0,0,5,0,0,1
1700099I09Rik,0,0,0,0,0,0,1,0,1,0,0,0
1700100I10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700101I11Rik,42,33,49,65,78,65,66,80,73,33,55,57
1700101O22Rik,0,0,3,1,0,0,1,0,1,0,0,0
1700102H20Rik,4,2,6,12,15,4,5,4,13,9,6,9
1700102P08Rik,35,34,43,34,92,33,33,46,75,28,39,30
1700104L18Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700108F19Rik,0,2,0,0,4,1,0,2,1,0,1,1
1700108J01Rik,0,0,0,0,2,1,0,0,0,0,0,0
1700109G14Rik,1,2,10,1,6,2,0,0,3,1,1,0
1700109G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700109H08Rik,59,70,59,57,114,46,79,69,113,77,62,81
1700109I08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,2,0,0,0,0,0,2,0
1700110C19Rik,16,23,33,46,84,38,26,29,49,24,33,53
1700110I01Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700110I07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700110K17Rik,1,15,11,16,22,7,10,20,14,8,15,8
1700111N16Rik,0,2,0,0,0,0,0,0,0,1,0,0
1700112D23Rik,4,9,11,8,16,3,13,21,21,19,8,12
1700112H15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700112J16Rik,23,29,40,50,96,43,52,45,49,37,29,55
1700113A16Rik,32,22,42,54,100,51,36,55,61,42,40,36
1700113B09Rik,1,0,0,0,1,0,1,0,2,1,0,1
1700113H08Rik,0,2,0,3,2,0,1,1,1,2,2,2
1700116B05Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700120B22Rik,6,16,21,35,49,15,23,26,34,14,15,14
1700120C14Rik,1,5,2,6,12,3,1,7,2,3,4,5
1700120E14Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700120G07Rik,0,0,0,0,1,1,0,0,1,0,0,0
1700120K04Rik,2,4,6,5,7,3,0,3,5,1,3,3
1700121L16Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700121N20Rik,0,0,0,0,2,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700122H20Rik,0,1,2,3,10,1,1,0,0,5,0,4
1700122O11Rik,0,0,0,0,2,3,0,0,0,0,0,0
1700123J17Rik,1,1,0,0,2,0,1,0,0,0,0,0
1700123K08Rik,1,6,3,3,13,1,1,2,7,12,2,3
1700123L14Rik,3,3,5,4,5,8,4,5,11,0,5,6
1700123M08Rik,28,32,26,62,83,50,52,24,62,79,49,85
1700123O12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700123O20Rik,725,590,753,811,1310,720,934,910,1252,697,715,939
1700123O21Rik,27,34,30,18,94,30,16,40,40,17,30,45
1700124L16Rik,12,5,4,9,31,6,14,6,3,4,16,13
